model,graph,seed,split,h,rmse,mae,r2
m1,real,1237,test,1,0.7651867895826656,0.5481793467026617,0.4054076109433068
m2,real,1237,val,1,0.7537004623470457,0.5305945200843467,0.3985336549899894
m2,real,1237,test,1,0.7290236337057049,0.5298942828830364,0.4602810909587738
m2,edges,1237,val,1,0.7542677006823322,0.5311519685386428,0.39762798179446335
m2,edges,1237,test,1,0.7296205995212867,0.5304229096258605,0.4593968242791949
m2,weights,1237,val,1,0.7546708877856009,0.531392695847261,0.39698382444681224
m2,weights,1237,test,1,0.7297399267734868,0.5304528038622898,0.45921998177602863
m3,real,1237,val,1,0.7478140806084324,0.5373956560200858,0.4078918423120751
m3,real,1237,test,1,0.741877316325884,0.5442264992011553,0.44108134779083485
m3,edges,1237,val,1,0.7477873167547752,0.5375679870345402,0.4079342240026931
m3,edges,1237,test,1,0.7419638053701727,0.5442839884238724,0.4409510212347011
m3,weights,1237,val,1,0.7481179642340322,0.5375763526621917,0.4074105233928976
m3,weights,1237,test,1,0.7421182499814756,0.5442136999982456,0.44071825762026084
m3_nolatent,real,1237,val,1,0.7497090124492081,0.5371119479653718,0.40488728225266424
m3_nolatent,real,1237,test,1,0.74127053178709,0.5433194232339413,0.4419952576673851
m2_identity,real,1237,val,1,0.7802065766021978,0.5493576147006014,0.35548507065352875
m2_identity,real,1237,test,1,0.7476227953639075,0.5419041901686135,0.4323907189361621
b1,real,1238,val,1,0.7831414356962839,0.5497790520843325,0.3506270798425052
b1,real,1238,test,1,0.7498543283081105,0.5422947766859734,0.42899721843340943
m1,real,1238,val,1,0.7618963931530185,0.5383950304163421,0.3853815354705562
m1,real,1238,test,1,0.7607635395035457,0.5461989155344984,0.41226196146286076
m2,real,1238,val,1,0.7491576034114277,0.5284784064173655,0.40576236804911014
m2,real,1238,test,1,0.7272653927961874,0.5294601486497184,0.4628813126463054
m2,edges,1238,val,1,0.749793533039214,0.5290156773976675,0.4047530912198628
m2,edges,1238,test,1,0.7278867843906612,0.5299243441391643,0.46196306842002877
m2,weights,1238,val,1,0.7503460900806274,0.5293437160441995,0.4038754387730735
m2,weights,1238,test,1,0.7280208713722691,0.5300056877015784,0.46176482222393667
m3,real,1238,val,1,0.7438981437485346,0.5290684823301924,0.41407676816440464
m3,real,1238,test,1,0.7361873013114245,0.5362138156830458,0.44962200422464293
m3,edges,1238,val,1,0.7440292807144518,0.5292132224046078,0.413870172764199
m3,edges,1238,test,1,0.7360134676359759,0.5361181721525444,0.44988189171275483
m3,weights,1238,val,1,0.7437926548665715,0.529073462584075,0.4142429307090374
m3,weights,1238,test,1,0.7359522834378665,0.5360974340340661,0.44997334964877844
m3_nolatent,real,1238,val,1,0.7460296921322038,0.5305476267913144,0.4107141759957754
m3_nolatent,real,1238,test,1,0.7370098547389708,0.5370862805808764,0.44839142548751476
m2_identity,real,1238,val,1,0.7776263536561699,0.5480755616234319,0.3597409752226133
m2_identity,real,1238,test,1,0.7448443787605111,0.5403555192009213,0.4366017318379527
