session,model,acf_err,ps_err,fc_corr,amp_ratio,unstable_frac
ito_2018-10-20_1,b0a_persist,0.09473093536906418,25.599111299293423,nan,1.2096271478118781e-15,0.0
ito_2018-10-20_1,b0b_ar5,0.06673767676654693,6.829547535031318,0.30838602199035314,0.043551039978415036,0.0
ito_2018-10-20_1,b2_structlin,0.05505986147591267,6.948531183935711,0.2339420040413776,0.024914937533467345,0.0
ito_2018-10-20_1,m2_s1234,0.060158445138987805,7.048999372736416,0.1545565582788292,0.024869618127320213,0.0
ito_2018-10-20_1,m2_s1235,0.06219192709079078,7.236070904350944,0.16657241413018714,0.02321305629679279,0.0
ito_2018-10-20_1,m2_s1236,0.07956348755472194,7.242872665816442,0.13252665800935876,0.025522649165015086,0.0
ito_2018-10-20_1,m2_s1237,0.05870260866651325,7.234366053425277,0.16248078857645035,0.023555400875862907,0.0
ito_2018-10-20_1,m2_s1238,0.09643670308713663,6.596377939894485,0.10314141167126739,0.04464503527442838,0.0
ito_2018-10-20_1,m3_s1234,0.0662999885867102,6.814816853110285,0.18624794408467762,0.029067940440738408,0.0
ito_2018-10-20_1,m3_s1235,0.09811280171302311,6.843256016349866,0.2731809424350642,0.03259143273555132,0.0
ito_2018-10-20_1,m3_s1236,0.07415482167305196,7.204562272346682,0.1292084516562334,0.02193190215797049,0.0
ito_2018-10-20_1,m3_s1237,0.08379091241141777,6.617774235993314,0.3168400687393135,0.03782874245281672,0.0
ito_2018-10-20_1,m3_s1238,0.11639735016305164,6.874932723051088,0.29411684958796636,0.03697698883593452,0.0
ito_2018-12-12_2,b0a_persist,0.10270468481524121,24.595480827715082,nan,2.7033732149426228e-15,0.0
ito_2018-12-12_2,b0b_ar5,0.07605022631025438,5.034712809996049,0.2715601701922956,0.09494269633180562,0.0
ito_2018-12-12_2,b2_structlin,0.08965811267160151,5.23944590980395,0.13209177493101212,0.08431435824786551,0.0
ito_2018-12-12_2,m2_s1234,0.09324531422050622,5.40403497189502,0.05008442755330699,0.0738198341700249,0.0
ito_2018-12-12_2,m2_s1235,0.09582433763305144,5.433411843671695,0.03733223640730448,0.07491289775360632,0.0
ito_2018-12-12_2,m2_s1236,0.11038105115872295,5.502826903678524,0.004719743924363024,0.07933094319085553,0.0
ito_2018-12-12_2,m2_s1237,0.0888672338757473,5.528791279844765,0.03297834903275332,0.07067781131001949,0.0
ito_2018-12-12_2,m2_s1238,0.12414012338379816,5.881134277559274,0.002810909206952751,0.06667077882413304,0.0
ito_2018-12-12_2,m3_s1234,0.0921097191476523,5.963612234007061,0.1318970104454449,0.04115597056907517,0.0
ito_2018-12-12_2,m3_s1235,0.0757790214471572,5.72440329262862,0.28748779480696257,0.05495441331060229,0.0
ito_2018-12-12_2,m3_s1236,0.0699424537777289,5.775909472329903,0.12454956483120573,0.05573235992733598,0.0
ito_2018-12-12_2,m3_s1237,0.23363560127090152,5.796987600181188,0.002163881319413241,0.06784802385836007,0.0
ito_2018-12-12_2,m3_s1238,0.18242055916979866,5.017886464990428,0.18117546106827323,0.10286627481874798,0.0
ito_2018-12-12_3,b0a_persist,0.06074609705799276,25.010300929869807,nan,1.9249142860377496e-15,0.0
ito_2018-12-12_3,b0b_ar5,0.037968293520342505,5.543016493687295,0.15477806200557906,0.06382587016279316,0.0
ito_2018-12-12_3,b2_structlin,0.047524958457099496,6.008126313933375,0.24088831414901565,0.0480246007844061,0.0
ito_2018-12-12_3,m2_s1234,0.07071936388030692,5.831054285509684,0.04462418165815493,0.055866495893528205,0.0
ito_2018-12-12_3,m2_s1235,0.07355069497330233,5.967108999941318,0.10536791083474757,0.055371880393535806,0.0
ito_2018-12-12_3,m2_s1236,0.0897168553647598,5.930918555554452,0.03549446444603051,0.059971322723445755,0.0
ito_2018-12-12_3,m2_s1237,0.0642292893444581,5.9125124476203155,0.06640907043527916,0.05447278687445705,0.0
ito_2018-12-12_3,m2_s1238,0.10755494020964368,5.37874732314973,0.06330409261664607,0.09569751994710302,0.0
ito_2018-12-12_3,m3_s1234,0.07719518287814119,5.286535180856028,0.08272364592201517,0.06517698048757065,0.0
ito_2018-12-12_3,m3_s1235,0.19250543039863377,5.42677836323899,0.20981637243007306,0.07723072351917881,0.0
ito_2018-12-12_3,m3_s1236,0.05057604447246656,5.763461779858222,0.19115938650837283,0.043177666810726996,0.0
ito_2018-12-12_3,m3_s1237,0.04610623552644252,5.406652364815159,0.05912427260648693,0.06340596636221878,0.0
ito_2018-12-12_3,m3_s1238,0.09693503301670717,5.777691503470198,0.16462580226352744,0.05736020065296135,0.0
ito_2018-12-12_4,b0a_persist,0.05205539488602606,24.87746804482588,0.036112645390272716,2.3366611473611788e-15,0.0
ito_2018-12-12_4,b0b_ar5,0.046587908742526454,4.903517792811664,0.12114575590423828,0.10599426014495275,0.0
ito_2018-12-12_4,b2_structlin,0.05010717777565245,5.480732890857727,0.1408112253767281,0.07790945370245486,0.0
ito_2018-12-12_4,m2_s1234,0.057053647353816406,5.3578611108602185,-0.0060353336095976704,0.08418986415624483,0.0
ito_2018-12-12_4,m2_s1235,0.062138174514611934,5.3815098269638355,0.022841706523947496,0.08950675452628923,0.0
ito_2018-12-12_4,m2_s1236,0.06852996580477852,5.363260781164561,-0.05879929728057812,0.09330036506670131,0.0
ito_2018-12-12_4,m2_s1237,0.05371650491472298,5.387377297595967,-0.02047926428904539,0.08257767616714994,0.0
ito_2018-12-12_4,m2_s1238,0.0796006623383963,4.869687415136463,-0.05347945445438811,0.1386171190444345,0.0
